clave,es,en,va,pantalla
anuncios.empty,No hay anuncios,No announcements,No hi ha anuncis,anuncios
asistencia.breakdown,Desglose,Breakdown,Desglossament,asistencia
asistencia.codes.ausente,Ausente,Absent,Absent,[reusada] asistencia
asistencia.codes.entreno_diferenciado,Entreno diferenciado,Individual training,Entrenament diferenciat,[reusada] asistencia
asistencia.codes.presente,Presente,Present,Present,[reusada] asistencia
asistencia.empty,Sin registros de asistencia todavía,No attendance records yet,Encara no hi ha registres d'assistència,asistencia
asistencia.family_title,Asistencia,Attendance,Assistència,asistencia
asistencia.justified,Justificada,Justified,Justificada,asistencia
asistencia.pct_present,Presencia,Attendance,Presència,asistencia
asistencia.range_season,Temporada actual,Current season,Temporada actual,asistencia
asistencia.total,{n} entrenos registrados,{n} training sessions recorded,{n} entrenaments registrats,asistencia
calendario.empty,No hay eventos en las próximas semanas,No events in the coming weeks,No hi ha esdeveniments en les pròximes setmanes,calendario
calendario.holidays.badge,Festivo,Holiday,Festiu,[reusada] calendario
child.none,No tienes ningún hijo en este club,You have no children at this club,No tens cap fill en este club,asistencia;convocatoria-detalle;convocatorias;estadisticas;gestion;mi-equipo;mi-ficha;mi-informe;seguidores
common.vs,vs,vs,vs,directos
convocatorias.decision.called_up,Convocado,Called up,Convocat,[reusada] convocatoria-detalle;convocatorias
convocatorias.decision_discarded,No convocado,Not called up,No convocat,convocatoria-detalle;convocatorias
convocatorias.detail.citation_title,Citación,Meeting,Citació,[reusada] convocatoria-detalle
convocatorias.detail.citation_transport,Transporte,Transport,Transport,[reusada] convocatoria-detalle
convocatorias.detail_title,Convocatoria,Call-up,Convocatòria,convocatoria-detalle
convocatorias.error,No se pudo guardar. Inténtalo de nuevo,Could not save. Please try again,No s'ha pogut guardar. Torna-ho a provar,convocatoria-detalle
convocatorias.family_empty,No hay convocatorias,No call-ups,No hi ha convocatòries,convocatorias
convocatorias.family_title,Convocatorias,Call-ups,Convocatòries,convocatorias
convocatorias.family_your_response,Tu disponibilidad,Your availability,La teua disponibilitat,convocatoria-detalle
convocatorias.forbidden,No tienes permiso para responder,You do not have permission to respond,No tens permís per a respondre,convocatoria-detalle
convocatorias.meeting_at,Hora de quedada,Meeting time,Hora de quedada,convocatoria-detalle
convocatorias.not_published,La convocatoria aún no está publicada,The call-up is not published yet,La convocatòria encara no està publicada,convocatoria-detalle
convocatorias.notes,Notas,Notes,Notes,convocatoria-detalle
convocatorias.offline_write,Sin conexión: no puedes responder ahora,Offline: you cannot respond right now,Sense connexió: no pots respondre ara,convocatoria-detalle
convocatorias.past,Anteriores,Past,Anteriors,convocatorias
convocatorias.publish.field.meeting_address,Dirección,Address,Adreça,[reusada] convocatoria-detalle
convocatorias.resp_maybe,Quizá,Maybe,Potser,convocatoria-detalle;convocatorias
convocatorias.resp_pending,Pendiente,Pending,Pendent,convocatorias
convocatorias.response.no,No,No,No,[reusada] convocatoria-detalle;convocatorias
convocatorias.response.yes,Sí,Yes,Sí,[reusada] convocatoria-detalle;convocatorias
convocatorias.response_hint,"Respondes por {name}. Para responder por otro hijo, cámbialo en el selector.","You are responding for {name}. To respond for another child, switch them in the selector.","Respons per {name}. Per a respondre per un altre fill, canvia'l en el selector.",convocatoria-detalle
convocatorias.saved,Respuesta guardada,Response saved,Resposta guardada,convocatoria-detalle
convocatorias.tournament.field.location,Lugar,Venue,Lloc,[reusada] convocatoria-detalle
convocatorias.unavailable,Esta convocatoria no está disponible,This call-up is not available,Esta convocatòria no està disponible,convocatoria-detalle
convocatorias.upcoming,Próximas,Upcoming,Pròximes,convocatorias
convocatorias.upcoming_empty,Sin partidos próximos,No upcoming matches,Sense partits pròxims,convocatorias
convocatorias.view_stats,Ver estadísticas del partido,View match stats,Veure estadístiques del partit,convocatoria-detalle
directo.event.assist,Asistencia,Assist,Assistència,directo-detalle
directo.event.corner,Córner,Corner,Córner,directo-detalle
directo.event.foul,Falta,Foul,Falta,directo-detalle
directo.event.goal,Gol,Goal,Gol,directo-detalle
directo.event.offside,Fuera de juego,Offside,Fora de joc,directo-detalle
directo.event.penalty,Penalti,Penalty,Penal,directo-detalle
directo.event.red_card,Roja,Red,Roja,directo-detalle
directo.event.rival,Rival,Rival,Rival,directo-detalle
directo.event.shot,Tiro,Shot,Xut,directo-detalle
directo.event.substitution,Cambio,Substitution,Canvi,directo-detalle
directo.event.yellow_card,Amarilla,Yellow,Groga,directo-detalle
directo.live,EN VIVO,LIVE,EN DIRECTE,directo-detalle
directo.minute_added,{minute}+{added}',{minute}+{added}',{minute}+{added}',directo-detalle
directo.no_events,Sin eventos todavía,No events yet,Sense esdeveniments encara,directo-detalle
