clave,es,en,va,pantalla
anuncios_dir.no_teams,El club no tiene equipos,The club has no teams,El club no té equips,anuncios-picker
anuncios_dir.pick_team,Elige el equipo del anuncio,Choose the announcement's team,Tria l'equip de l'anunci,anuncios-picker
calendario.approval.approve,Aprobar,Approve,Aprovar,[reusada] calendario
calendario.approval.reason_label,Motivo del rechazo,Rejection reason,Motiu del rebuig,[reusada] calendario
calendario.approval.reject,Rechazar,Reject,Rebutjar,[reusada] calendario
calendario.dialog.cancel,Cancelar,Cancel,Cancel·lar,[reusada] calendario
calendario.holidays.confirm,Marcar festivo,Mark holiday,Marcar festiu,[reusada] calendario
calendario.holidays.reason_label,Motivo,Reason,Motiu,[reusada] calendario
calendario.holidays.trigger,Marcar día festivo,Mark as holiday,Marcar dia festiu,[reusada] calendario
club_role.entrenador_ayudante,Entrenador ayudante,Assistant coach,Entrenador ajudant,coach-ficha;cuerpo-tecnico
club_role.entrenador_principal,Entrenador principal,Head coach,Entrenador principal,coach-ficha;cuerpo-tecnico
dash.all_clear,Todo en orden,All clear,Tot en ordre,dashboard
dash.attendance,Asistencia,Assist,Assistència,dashboard
dash.best_avg,Mejor media,Best average,Millor mitjana,dashboard
dash.campaigns,Campañas por vencer,Campaigns due soon,Campanyes a punt de vèncer,dashboard
dash.census,Plantilla,Squad,Plantilla,dashboard
dash.club_avg,Media del club,Club average,Mitjana del club,dashboard
dash.criteria,Baja asistencia < 60% con ≥ 4 sesiones · inactivo = sin partidos ni asistencia,Low attendance < 60% with ≥ 4 sessions · inactive = no matches or attendance,Baixa assistència < 60 % amb ≥ 4 sessions · inactiu = sense partits ni assistència,dashboard
dash.empty,Sin datos todavía,No data yet,Encara sense dades,dashboard
dash.goals,goles,goals,gols,dashboard
dash.inactive,Inactivos,Inactive,Inactius,dashboard
dash.losses,P,L,D,dashboard
dash.low_attendance,Baja asistencia,Low attendance,Baixa assistència,dashboard
dash.none,Sin datos,No data,Sense dades,dashboard
dash.rankings,Rankings por categoría,Rankings by category,Rànquings per categoria,dashboard
dash.results,Resultados,Results,Resultats,dashboard
dash.sessions,sesiones,sessions,sessions,dashboard
dash.title,Dashboard,Dashboard,Tauler,dashboard
dash.total_players,jugadores,players,jugadors,dashboard
dash.wins,G,W,V,dashboard
dashboard.alerts.title,Alertas,Alerts,Alertes,[reusada] dashboard
dashboard.attendance.ranking,Ranking de jugadores,Player ranking,Rànquing de jugadors,[reusada] dashboard
dashboard.attendance.trend.title,Tendencia semanal,Weekly trend,Tendència setmanal,[reusada] dashboard
dashboard.census.by_category,Por categoría,By category,Per categoria,[reusada] dashboard
dashboard.census.by_team,Por equipo,By team,Per equip,[reusada] dashboard
dashboard.census.col.team,Equipo,Team,Equip,[reusada] dashboard
dashboard.rankings.mvps,MVPs,MVPs,MVPs,[reusada] dashboard
dashboard.rankings.scorers,Goleadores,Top scorers,Golejadors,[reusada] dashboard
dashboard.results.col.draws,E,D,E,[reusada] dashboard
dashboard.results.col.goal_diff,DG,GD,DG,[reusada] dashboard
dashboard.results.col.played,PJ,P,PJ,[reusada] dashboard
dir_cal.confirm,Confirmar,Confirm,Confirmar,calendario
dir_cal.date_ph,Fecha (AAAA-MM-DD),Date (YYYY-MM-DD),Data (AAAA-MM-DD),calendario
dir_cal.error,No se pudo completar,Couldn't be completed,No s'ha pogut completar,calendario
dir_cal.holidays_title,Festivos,Holidays,Festius,calendario
dir_cal.no_holidays,No hay festivos,No holidays,No hi ha festius,calendario
dir_cal.no_pending,Nada pendiente,Nothing pending,Res pendent,calendario
