clave,es,traduccion_nueva,estado
shell.sidebar_label,Menú principal,Main menu,sin_traducir
shell.signout,Cerrar sesión,Sign out,sin_traducir
shell.open_menu,Abrir menú,Open menu,sin_traducir
shell.active_club_label,Club activo,Active club,sin_traducir
shell.active_club_switch_help,Cambiar de club activo,Switch active club,sin_traducir
shell.user_menu_label,Menú de usuario,User menu,sin_traducir
shell.user_menu_perfil,Mi perfil,My profile,sin_traducir
shell.nav.home,Inicio,Home,sin_traducir
shell.nav.invitations,Invitaciones,Invitations,sin_traducir
shell.nav.perfil,Mi perfil,My profile,sin_traducir
shell.nav.import_players,Importar,Import,sin_traducir
shell.nav.equipos,Equipos,Teams,sin_traducir
roles.admin_club,Administrador del club,Club administrator,sin_traducir
roles.coordinador,Coordinador,Coordinator,sin_traducir
roles.entrenador_principal,Entrenador principal,Head coach,sin_traducir
roles.entrenador_ayudante,Entrenador ayudante,Assistant coach,sin_traducir
roles.jugador,Jugador / Familia,Player / Family,sin_traducir
perfil.title,Mi perfil,My profile,sin_traducir
perfil.subtitle,Datos de tu cuenta y cómo te ven el resto de miembros del club.,Your account details and how other club members see you.,sin_traducir
perfil.save,Guardar cambios,Save changes,sin_traducir
perfil.saved,Cambios guardados.,Changes saved.,sin_traducir
perfil.section.avatar,Foto de perfil,Profile photo,sin_traducir
perfil.section.data,Datos personales,Personal details,sin_traducir
perfil.section.account,Cuenta,Account,sin_traducir
perfil.field.full_name,Nombre completo,Full name,sin_traducir
perfil.field.email,Correo electrónico,Email,sin_traducir
perfil.field.email_help,"Para cambiar tu correo, contacta con soporte.","To change your email, contact support.",sin_traducir
perfil.field.date_of_birth,Fecha de nacimiento,Date of birth,sin_traducir
perfil.field.locale,Idioma de la app,App language,sin_traducir
perfil.field.locale_help,"Determina el idioma de menús, mensajes y emails.","Sets the language for menus, messages and emails.",sin_traducir
perfil.locales.es,Español,Spanish,sin_traducir
perfil.locales.en,Inglés,English,sin_traducir
perfil.locales.va,Valencià,Valencian,sin_traducir
perfil.avatar.pick_label,Elegir nueva foto,Choose new photo,sin_traducir
perfil.avatar.change,Cambiar foto,Change photo,sin_traducir
perfil.avatar.remove,Quitar foto,Remove photo,sin_traducir
perfil.avatar.hint,"JPG, PNG o WebP. Máximo {maxMb} MB.","JPG, PNG or WebP. Maximum {maxMb} MB.",sin_traducir
perfil.errors.full_name_too_short,El nombre debe tener al menos 2 caracteres,The name must be at least 2 characters,sin_traducir
perfil.errors.full_name_too_long,El nombre no puede superar los 120 caracteres,The name cannot exceed 120 characters,sin_traducir
perfil.errors.date_of_birth_invalid,Fecha de nacimiento no válida,Invalid date of birth,sin_traducir
perfil.errors.locale_invalid,Idioma no válido,Invalid language,sin_traducir
perfil.errors.no_session,Sesión perdida. Vuelve a iniciar sesión.,Session lost. Please sign in again.,sin_traducir
perfil.errors.generic,No hemos podido guardar los cambios. Inténtalo de nuevo.,We couldn't save your changes. Please try again.,sin_traducir
perfil.errors.avatar_mime_invalid,"Formato no admitido. Usa JPG, PNG o WebP.","Unsupported format. Use JPG, PNG or WebP.",sin_traducir
perfil.errors.avatar_too_large,La foto es demasiado grande.,The photo is too large.,sin_traducir
perfil.errors.avatar_empty,El archivo está vacío.,The file is empty.,sin_traducir
perfil.errors.avatar_upload_failed,No hemos podido subir la foto. Inténtalo de nuevo.,We couldn't upload the photo. Please try again.,sin_traducir
perfil.errors.avatar_remove_failed,No hemos podido quitar la foto.,We couldn't remove the photo.,sin_traducir
categorias.title,Categorías,Categories,sin_traducir
categorias.subtitle,Organiza el club por categorías y temporadas.,Organize the club by categories and seasons.,sin_traducir
categorias.empty,Aún no has creado ninguna categoría. Empieza por la primera.,You haven't created any categories yet. Start with the first one.,sin_traducir
categorias.season_label,Temporada {season},Season {season},sin_traducir
categorias.teams_count,"{count, plural, =0 {Sin equipos} one {# equipo} other {# equipos}}","{count, plural, =0 {No teams} one {# team} other {# teams}}",sin_traducir
categorias.actions.create,Nueva categoría,New category,sin_traducir
categorias.actions.edit,Editar,Edit,sin_traducir
categorias.actions.delete,Eliminar,Delete,sin_traducir
categorias.actions.cancel,Cancelar,Cancel,sin_traducir
categorias.actions.save,Guardar,Save,sin_traducir
categorias.dialog.create_title,Crear categoría,Create category,sin_traducir
categorias.dialog.edit_title,Editar categoría,Edit category,sin_traducir
categorias.dialog.description,Las categorías agrupan equipos por edad o nivel dentro de una temporada.,Categories group teams by age or level within a season.,sin_traducir
categorias.field.name,Nombre,Name,sin_traducir
categorias.field.season,Temporada,Season,sin_traducir
categorias.field.season_help,"Formato YYYY-YY, por ejemplo 2025-26.","Format YYYY-YY, for example 2025-26.",sin_traducir
categorias.field.order_idx,Orden,Order,sin_traducir
categorias.delete.title,¿Eliminar la categoría?,Delete the category?,sin_traducir
categorias.delete.description,Vas a eliminar «{name}». Esta acción elimina también sus equipos y no se puede deshacer.,"You are about to delete ""{name}"". This action also deletes its teams and cannot be undone.",sin_traducir
categorias.errors.name_required,Pon el nombre de la categoría,Enter the category name,sin_traducir
categorias.errors.name_too_long,El nombre no puede superar los 80 caracteres,The name cannot exceed 80 characters,sin_traducir
categorias.errors.season_invalid,Temporada no válida. Usa formato YYYY-YY (ej. 2025-26).,Invalid season. Use format YYYY-YY (e.g. 2025-26).,sin_traducir
categorias.errors.no_active_club,No hay club activo.,No active club.,sin_traducir
categorias.errors.forbidden,No tienes permiso para hacer esto.,You don't have permission to do this.,sin_traducir
categorias.errors.generic,No hemos podido guardar los cambios. Inténtalo de nuevo.,We couldn't save your changes. Please try again.,sin_traducir
equipos.back_to_categorias,← Volver a categorías,← Back to categories,sin_traducir
equipos.subtitle,Equipos de la temporada {season}.,Teams for the {season} season.,sin_traducir
equipos.empty,Aún no hay equipos en esta categoría.,There are no teams in this category yet.,sin_traducir
equipos.list_title,Equipos,Teams,sin_traducir
equipos.actions.create,Nuevo equipo,New team,sin_traducir
equipos.actions.edit,Editar,Edit,sin_traducir
equipos.actions.delete,Eliminar,Delete,sin_traducir
equipos.actions.cancel,Cancelar,Cancel,sin_traducir
equipos.actions.save,Guardar,Save,sin_traducir
equipos.dialog.create_title,Crear equipo,Create team,sin_traducir
equipos.dialog.edit_title,Editar equipo,Edit team,sin_traducir
equipos.field.name,Nombre,Name,sin_traducir
equipos.field.format,Formato,Format,sin_traducir
equipos.field.color_help,Color identificativo en calendarios y vistas del equipo.,Identifying color in calendars and team views.,sin_traducir
equipos.field.season,Temporada,Season,sin_traducir
equipos.field.season_help,"Formato YYYY-YY, por ejemplo 2025-26.","Format YYYY-YY, for example 2025-26.",sin_traducir
equipos.field.category,Categoría,Category,sin_traducir
equipos.delete.title,¿Eliminar el equipo?,Delete the team?,sin_traducir
equipos.delete.description,Vas a eliminar «{name}». Esta acción no se puede deshacer.,"You're about to delete ""{name}"". This action can't be undone.",sin_traducir
equipos.errors.name_required,Pon el nombre del equipo,Enter the team name,sin_traducir
equipos.errors.name_too_long,El nombre no puede superar los 80 caracteres,The name can't be longer than 80 characters,sin_traducir
equipos.errors.format_invalid,Formato no válido,Invalid format,sin_traducir
equipos.errors.color_invalid,Color no válido,Invalid color,sin_traducir
equipos.errors.forbidden,No tienes permiso para hacer esto.,You don't have permission to do this.,sin_traducir
equipos.errors.generic,No hemos podido guardar los cambios. Inténtalo de nuevo.,We couldn't save the changes. Please try again.,sin_traducir
equipos.errors.category_invalid,Categoría no válida.,Invalid category.,sin_traducir
equipos.errors.season_invalid,Temporada no válida. Usa formato YYYY-YY (ej. 2025-26).,Invalid season. Use YYYY-YY format (e.g. 2025-26).,sin_traducir
equipos.errors.no_active_club,No hay club activo.,There's no active club.,sin_traducir
equipos.title,Equipos,Teams,sin_traducir
equipos.page_subtitle,Equipos del club por temporada.,Club teams by season.,sin_traducir
equipos.manage_templates,Categorías,Categories,sin_traducir
equipos.no_templates,Crea primero una categoría-plantilla para poder dar de alta equipos.,Create a category template first so you can add teams.,sin_traducir
equipos.season_filter,Temporada,Season,sin_traducir
equipos.empty_season,Aún no hay equipos en la temporada {season}.,There are no teams in the {season} season yet.,sin_traducir
invite.error_auth_update_failed,No hemos podido establecer tu contraseña. Inténtalo de nuevo.,We couldn't set your password. Please try again.,sin_traducir
invite.error_profile_update_failed,No hemos podido guardar tu perfil. Inténtalo de nuevo.,We couldn't save your profile. Please try again.,sin_traducir
invite.error_membership_failed,No hemos podido vincularte al club. Avisa al admin del club.,We couldn't link you to the club. Let the club admin know.,sin_traducir
invite.error_player_link_failed,No hemos podido vincularte al jugador. Avisa al admin del club.,We couldn't link you to the player. Let the club admin know.,sin_traducir
invite.error_team_staff_failed,No hemos podido añadirte al equipo. Avisa al admin del club.,We couldn't add you to the team. Let the club admin know.,sin_traducir
jugadores.invitePending.trigger.imported,Invitar a los recién importados,Invite the recently imported,sin_traducir
jugadores.invitePending.trigger.pending,Invitar a los pendientes,Invite the pending ones,sin_traducir
jugadores.invitePending.confirm.title,Invitar por email,Invite by email,sin_traducir
jugadores.invitePending.confirm.body,¿Invitar a {count} personas? Se envía un email por familia (uno solo aunque haya varios hijos).,Invite {count} people? One email is sent per family (just one even if there are several children).,sin_traducir
jugadores.invitePending.confirm.cancel,Cancelar,Cancel,sin_traducir
