clave,es,en,va,pantalla
auth.signin.app_subtitle,Entra con tu cuenta,Sign in to your account,Entra amb el teu compte,login
home.no_access.title,Sin acceso,No access,Sense accés,app/index
home.no_access.body,Tu cuenta no pertenece a ningún club todavía.,Your account doesn't belong to any club yet.,El teu compte encara no pertany a cap club.,app/index
shell.switch_club,Cambiar de club,Switch club,Canviar de club,nav/menu
shell.menu,Menú,Menu,Menú,nav/chrome
shell.placeholder_hint,Pantalla en construcción,Screen under construction,Pantalla en construcció,nav/placeholder
shell.offline_banner,Sin conexión · mostrando datos guardados,Offline · showing saved data,Sense connexió · mostrant dades desades,ui/feedback
shell.selector.change,Cambiar,Change,Canvia,ui/child-selector; ui/spectator-player-selector; ui/staff-team-selector
shell.selector.pick_child,Elige un hijo,Pick child,Tria fill,ui/child-selector; ui/spectator-player-selector
shell.selector.pick_team,Elige equipo,Pick team,Tria equip,ui/staff-team-selector
notificaciones.push_native.card_title,Notificaciones push,Push notifications,Notificacions push,notifications/push-settings-card
notificaciones.push_native.card_body,"Actívalas para recibir avisos de convocatorias, mensajes y directos aunque no tengas la app abierta.","Turn them on to get alerts about call-ups, messages and live matches even when the app is closed.","Activa-les per rebre avisos de convocatòries, missatges i directes encara que no tingues l’app oberta.",notifications/push-settings-card
notificaciones.push_native.enabled,Notificaciones activadas en este dispositivo.,Notifications enabled on this device.,Notificacions activades en este dispositiu.,notifications/push-settings-card
notificaciones.push_native.denied_body,Has bloqueado las notificaciones. Actívalas desde los Ajustes del sistema para este dispositivo.,You blocked notifications. Turn them on from the system Settings for this device.,Has bloquejat les notificacions. Activa-les des dels Ajustos del sistema per a este dispositiu.,notifications/push-settings-card
notificaciones.push_native.enabling,Activando…,Enabling…,Activant…,notifications/push-settings-card
notificaciones.push_native.enable_button,Activar notificaciones,Enable notifications,Activar notificacions,notifications/push-settings-card
notificaciones.push_native.error,No se pudieron activar. Inténtalo de nuevo.,Couldn't enable them. Please try again.,No s’han pogut activar. Torna-ho a provar.,notifications/push-settings-card
nav.agenda,Agenda,Schedule,Agenda,nav/navigator; nav/menu
nav.alineacion,Alineación,Lineup,Alineació,nav/navigator; nav/menu
nav.anuncios,Anuncios,Announcements,Anuncis,nav/navigator; nav/menu
nav.asistencia,Asistencia,Attendance,Assistència,nav/navigator; nav/menu
nav.asistencia_consulta,Asistencia,Attendance,Assistència,nav/navigator; nav/menu
nav.convocatorias,Convocatorias,Call-ups,Convocatòries,nav/navigator; nav/menu
