clave,es,en,va,pantalla
alineacion.app_bench_empty,Sin suplentes,No substitutes,Sense suplents,alineacion
alineacion.bench,Banquillo,Bench,Banqueta,[reusada] alineacion
alineacion.edit_hint,"Arrastra a un jugador a un hueco, a otro (cambio) o al banquillo.","Drag a player onto an empty slot, onto another (swap) or to the bench.","Arrossega un jugador a un buit, a un altre (canvi) o a la banqueta.",alineacion
alineacion.formation,Formación,Formation,Formació,alineacion
alineacion.no_permission,No tienes permiso para editar esta alineación.,You can’t edit this lineup.,No tens permís per editar aquesta alineació.,alineacion
alineacion.none_yet,Aún no hay alineación para este partido,No lineup yet for this match,Encara no hi ha alineació per a este partit,alineacion
alineacion.official,Oficial,Official,Oficial,alineacion
alineacion.offline_write,Sin conexión: la alineación es de solo lectura.,Offline: the lineup is read-only.,Sense connexió: l'alineació és només de lectura.,alineacion
alineacion.pick_match,Abre un partido y pulsa «Ver alineación»,Open a match and tap “View lineup”,Obri un partit i toca «Veure alineació»,alineacion
alineacion.readonly_hint,Vista de solo lectura.,Read-only view.,Vista de només lectura.,alineacion
alineacion.title,Alineación,Lineup,Alineació,[reusada] alineacion
alineacion.unavailable,Esta alineación no está disponible,This lineup is not available,Esta alineació no està disponible,alineacion
anuncios_staff.body_ph,Escribe el anuncio…,Write the announcement…,Escriu l’anunci…,anuncios
anuncios_staff.cancel,Cancelar,Cancel,Cancel·lar,anuncios
anuncios_staff.delete,Borrar,Delete,Esborrar,anuncios
anuncios_staff.delete_error,No se pudo borrar. Inténtalo de nuevo.,Couldn’t delete. Try again.,No s’ha pogut esborrar. Torna-ho a provar.,anuncios
anuncios_staff.delete_title,¿Borrar este anuncio?,Delete this announcement?,Vols esborrar este anunci?,anuncios
anuncios_staff.edit,Editar,Edit,Editar,anuncios
anuncios_staff.empty,No hay anuncios en este equipo,No announcements in this team,No hi ha anuncis en este equip,anuncios
anuncios_staff.new,Nuevo anuncio,New announcement,Nou anunci,anuncios
anuncios_staff.offline,Sin conexión: no puedes publicar ni editar ahora.,You’re offline: you can’t publish or edit right now.,Sense connexió: no pots publicar ni editar ara.,anuncios
anuncios_staff.pinned,Fijar arriba,Pin to top,Fixar a dalt,anuncios
anuncios_staff.publish,Publicar,Publish,Publicar,anuncios
anuncios_staff.publish_error,No se pudo publicar. Inténtalo de nuevo.,Couldn't publish. Please try again.,No s'ha pogut publicar. Torna-ho a provar.,anuncios
anuncios_staff.save,Guardar,Save,Guardar,anuncios
anuncios_staff.save_error,No se pudo guardar. Inténtalo de nuevo.,Couldn't save. Please try again.,No s'ha pogut guardar. Torna-ho a provar.,anuncios
anuncios_staff.title,Anuncios,Announcements,Anuncis,anuncios
anuncios_staff.title_ph,Título,Title,Títol,anuncios
